"ds","holiday"
2010-01-01,"bankholiday"
2010-01-06,"bankholiday"
2010-02-14,"bankholiday"
2010-03-14,"bankholiday"
2010-03-28,"bankholiday"
2010-03-31,"bankholiday"
2010-04-01,"bankholiday"
2010-04-02,"bankholiday"
2010-04-04,"bankholiday"
2010-04-05,"bankholiday"
2010-04-06,"bankholiday"
2010-04-30,"bankholiday"
2010-05-01,"bankholiday"
2010-05-13,"bankholiday"
2010-05-14,"bankholiday"
2010-05-23,"bankholiday"
2010-05-24,"bankholiday"
2010-06-20,"bankholiday"
2010-06-23,"bankholiday"
2010-06-24,"bankholiday"
2010-09-08,"bankholiday"
2010-10-31,"bankholiday"
2010-11-01,"bankholiday"
2010-11-02,"bankholiday"
2010-11-26,"bankholiday"
2010-11-28,"bankholiday"
2010-11-29,"bankholiday"
2010-12-05,"bankholiday"
2010-12-12,"bankholiday"
2010-12-19,"bankholiday"
2010-12-24,"bankholiday"
2010-12-25,"bankholiday"
2010-12-26,"bankholiday"
2011-01-01,"bankholiday"
2011-01-06,"bankholiday"
2011-02-14,"bankholiday"
2011-04-03,"bankholiday"
2011-04-17,"bankholiday"
2011-04-20,"bankholiday"
2011-04-21,"bankholiday"
2011-04-22,"bankholiday"
2011-04-24,"bankholiday"
2011-04-25,"bankholiday"
2011-04-26,"bankholiday"
2011-05-01,"bankholiday"
2011-05-20,"bankholiday"
2011-06-02,"bankholiday"
2011-06-03,"bankholiday"
2011-06-12,"bankholiday"
2011-06-13,"bankholiday"
2011-06-19,"bankholiday"
2011-06-23,"bankholiday"
2011-06-24,"bankholiday"
2011-09-08,"bankholiday"
2011-10-31,"bankholiday"
2011-11-01,"bankholiday"
2011-11-02,"bankholiday"
2011-11-25,"bankholiday"
2011-11-27,"bankholiday"
2011-11-28,"bankholiday"
2011-12-04,"bankholiday"
2011-12-11,"bankholiday"
2011-12-18,"bankholiday"
2011-12-24,"bankholiday"
2011-12-25,"bankholiday"
2011-12-26,"bankholiday"
2012-01-01,"bankholiday"
2012-01-06,"bankholiday"
2012-02-14,"bankholiday"
2012-03-18,"bankholiday"
2012-04-01,"bankholiday"
2012-04-04,"bankholiday"
2012-04-05,"bankholiday"
2012-04-06,"bankholiday"
2012-04-08,"bankholiday"
2012-04-09,"bankholiday"
2012-04-10,"bankholiday"
2012-05-01,"bankholiday"
2012-05-04,"bankholiday"
2012-05-17,"bankholiday"
2012-05-18,"bankholiday"
2012-05-27,"bankholiday"
2012-05-28,"bankholiday"
2012-06-17,"bankholiday"
2012-06-23,"bankholiday"
2012-06-24,"bankholiday"
2012-09-08,"bankholiday"
2012-10-31,"bankholiday"
2012-11-01,"bankholiday"
2012-11-02,"bankholiday"
2012-11-23,"bankholiday"
2012-11-26,"bankholiday"
2012-12-02,"bankholiday"
2012-12-09,"bankholiday"
2012-12-16,"bankholiday"
2012-12-23,"bankholiday"
2012-12-24,"bankholiday"
2012-12-25,"bankholiday"
2012-12-26,"bankholiday"
2013-01-01,"bankholiday"
2013-01-06,"bankholiday"
2013-02-14,"bankholiday"
2013-03-10,"bankholiday"
2013-03-24,"bankholiday"
2013-03-27,"bankholiday"
2013-03-28,"bankholiday"
2013-03-29,"bankholiday"
2013-03-31,"bankholiday"
2013-04-01,"bankholiday"
2013-04-02,"bankholiday"
2013-04-26,"bankholiday"
2013-05-01,"bankholiday"
2013-05-09,"bankholiday"
2013-05-10,"bankholiday"
2013-05-19,"bankholiday"
2013-05-20,"bankholiday"
2013-06-16,"bankholiday"
2013-06-23,"bankholiday"
2013-06-24,"bankholiday"
2013-09-08,"bankholiday"
2013-10-31,"bankholiday"
2013-11-01,"bankholiday"
2013-11-02,"bankholiday"
2013-11-22,"bankholiday"
2013-11-25,"bankholiday"
2013-12-01,"bankholiday"
2013-12-08,"bankholiday"
2013-12-15,"bankholiday"
2013-12-22,"bankholiday"
2013-12-24,"bankholiday"
2013-12-25,"bankholiday"
2013-12-26,"bankholiday"
2014-01-01,"bankholiday"
2014-01-06,"bankholiday"
2014-02-14,"bankholiday"
2014-03-30,"bankholiday"
2014-04-13,"bankholiday"
2014-04-16,"bankholiday"
2014-04-17,"bankholiday"
2014-04-18,"bankholiday"
2014-04-20,"bankholiday"
2014-04-21,"bankholiday"
2014-04-22,"bankholiday"
2014-05-01,"bankholiday"
2014-05-16,"bankholiday"
2014-05-29,"bankholiday"
2014-05-30,"bankholiday"
2014-06-08,"bankholiday"
2014-06-09,"bankholiday"
2014-06-15,"bankholiday"
2014-06-23,"bankholiday"
2014-06-24,"bankholiday"
2014-09-08,"bankholiday"
2014-10-31,"bankholiday"
2014-11-01,"bankholiday"
2014-11-02,"bankholiday"
2014-11-28,"bankholiday"
2014-11-30,"bankholiday"
2014-12-01,"bankholiday"
2014-12-07,"bankholiday"
2014-12-14,"bankholiday"
2014-12-21,"bankholiday"
2014-12-24,"bankholiday"
2014-12-25,"bankholiday"
2014-12-26,"bankholiday"
2015-01-01,"bankholiday"
2015-01-06,"bankholiday"
2015-02-14,"bankholiday"
2015-03-15,"bankholiday"
2015-03-29,"bankholiday"
2015-04-01,"bankholiday"
2015-04-02,"bankholiday"
2015-04-03,"bankholiday"
2015-04-05,"bankholiday"
2015-04-06,"bankholiday"
2015-04-07,"bankholiday"
2015-05-01,"bankholiday"
2015-05-14,"bankholiday"
2015-05-15,"bankholiday"
2015-05-24,"bankholiday"
2015-05-25,"bankholiday"
2015-06-21,"bankholiday"
2015-06-23,"bankholiday"
2015-06-24,"bankholiday"
2015-09-08,"bankholiday"
2015-10-31,"bankholiday"
2015-11-01,"bankholiday"
2015-11-02,"bankholiday"
2015-11-27,"bankholiday"
2015-11-29,"bankholiday"
2015-11-30,"bankholiday"
2015-12-06,"bankholiday"
2015-12-13,"bankholiday"
2015-12-20,"bankholiday"
2015-12-24,"bankholiday"
2015-12-25,"bankholiday"
2015-12-26,"bankholiday"
2016-01-01,"bankholiday"
2016-01-06,"bankholiday"
2016-02-14,"bankholiday"
2016-03-06,"bankholiday"
2016-03-20,"bankholiday"
2016-03-23,"bankholiday"
2016-03-24,"bankholiday"
2016-03-25,"bankholiday"
2016-03-27,"bankholiday"
2016-03-28,"bankholiday"
2016-03-29,"bankholiday"
2016-04-22,"bankholiday"
2016-05-01,"bankholiday"
2016-05-05,"bankholiday"
2016-05-06,"bankholiday"
2016-05-15,"bankholiday"
2016-05-16,"bankholiday"
2016-06-19,"bankholiday"
2016-06-23,"bankholiday"
2016-06-24,"bankholiday"
2016-09-08,"bankholiday"
2016-10-31,"bankholiday"
2016-11-01,"bankholiday"
2016-11-02,"bankholiday"
2016-11-25,"bankholiday"
2016-11-27,"bankholiday"
2016-11-28,"bankholiday"
2016-12-04,"bankholiday"
2016-12-11,"bankholiday"
2016-12-18,"bankholiday"
2016-12-24,"bankholiday"
2016-12-25,"bankholiday"
2016-12-26,"bankholiday"
2017-01-01,"bankholiday"
2017-01-06,"bankholiday"
2017-02-14,"bankholiday"
2017-03-26,"bankholiday"
2017-04-09,"bankholiday"
2017-04-12,"bankholiday"
2017-04-13,"bankholiday"
2017-04-14,"bankholiday"
2017-04-16,"bankholiday"
2017-04-17,"bankholiday"
2017-04-18,"bankholiday"
2017-05-01,"bankholiday"
2017-05-12,"bankholiday"
2017-05-25,"bankholiday"
2017-05-26,"bankholiday"
2017-06-04,"bankholiday"
2017-06-05,"bankholiday"
2017-06-18,"bankholiday"
2017-06-23,"bankholiday"
2017-06-24,"bankholiday"
2017-09-08,"bankholiday"
2017-10-31,"bankholiday"
2017-11-01,"bankholiday"
2017-11-02,"bankholiday"
2017-11-24,"bankholiday"
2017-11-27,"bankholiday"
2017-12-03,"bankholiday"
2017-12-10,"bankholiday"
2017-12-17,"bankholiday"
2017-12-24,"bankholiday"
2017-12-25,"bankholiday"
2017-12-26,"bankholiday"
2018-01-01,"bankholiday"
2018-01-06,"bankholiday"
2018-02-14,"bankholiday"
2018-03-11,"bankholiday"
2018-03-25,"bankholiday"
2018-03-28,"bankholiday"
2018-03-29,"bankholiday"
2018-03-30,"bankholiday"
2018-04-01,"bankholiday"
2018-04-02,"bankholiday"
2018-04-03,"bankholiday"
2018-04-27,"bankholiday"
2018-05-01,"bankholiday"
2018-05-10,"bankholiday"
2018-05-11,"bankholiday"
2018-05-20,"bankholiday"
2018-05-21,"bankholiday"
2018-06-17,"bankholiday"
2018-06-23,"bankholiday"
2018-06-24,"bankholiday"
2018-09-08,"bankholiday"
2018-10-31,"bankholiday"
2018-11-01,"bankholiday"
2018-11-02,"bankholiday"
2018-11-23,"bankholiday"
2018-11-26,"bankholiday"
2018-12-02,"bankholiday"
2018-12-09,"bankholiday"
2018-12-16,"bankholiday"
2018-12-23,"bankholiday"
2018-12-24,"bankholiday"
2018-12-25,"bankholiday"
2018-12-26,"bankholiday"
